month,norm_precip,norm_snow,norm_rain,norm_precip_perc
Jan,1.3659999999999999,10.639999999999999,0.5793333333333333,0.33225806451612905
Feb,1.3713333333333333,10.823333333333332,0.5917499999999999,0.3406403940886699
Mar,1.8523333333333334,6.743333333333334,1.2131666666666665,0.3118279569892473
Apr,2.024,2.6466666666666665,1.753,0.3233333333333333
May,1.5536666666666668,0.02666666666666667,1.5503333333333333,0.26559139784946234
Jun,0.8566666666666667,0.0,0.8566666666666667,0.14444444444444443
Jul,0.444,0.0,0.444,0.11935483870967742
Aug,0.764,0.0,0.764,0.16021505376344086
Sep,0.9886666666666667,0.0,0.9886666666666667,0.17555555555555555
Oct,1.3736666666666666,0.4033333333333333,1.3318333333333332,0.210752688172043
Nov,1.212,5.08,0.8094166666666667,0.2511111111111111
Dec,1.4736666666666667,11.753333333333334,0.5898333333333333,0.3225806451612903
