month,norm_precip,norm_snow,norm_rain,norm_precip_perc
Jan,1.4093333333333333,10.873333333333333,0.5981666666666666,0.33763440860215055
Feb,1.3619999999999999,11.096666666666666,0.5694166666666667,0.3334975369458128
Mar,1.8506666666666665,6.763333333333334,1.2091666666666667,0.3129032258064516
Apr,2.074,2.8666666666666667,1.7758333333333334,0.33222222222222225
May,1.6343333333333334,0.02666666666666667,1.631,0.27741935483870966
Jun,0.901,0.0,0.901,0.15333333333333332
Jul,0.4486666666666667,0.0,0.4486666666666667,0.12258064516129032
Aug,0.7456666666666667,0.0,0.7456666666666667,0.15806451612903227
Sep,1.019,0.0,1.019,0.17555555555555555
Oct,1.2206666666666666,0.42,1.17675,0.2032258064516129
Nov,1.22,5.083333333333333,0.8170833333333333,0.25222222222222224
Dec,1.4856666666666667,11.796666666666669,0.5970833333333333,0.321505376344086
