metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Jan,1,0.010666666666666666,0.0,0.89,0.0,0.0,0.0,0.0,0.03200000000000003
precip,Jan,2,0.08800000000000001,0.0,0.91,0.0,0.0,0.0,0.08,0.33900000000000013
precip,Jan,3,0.10400000000000001,0.0,0.92,0.0,0.0,0.0,0.13,0.421
precip,Jan,4,0.151,0.0,0.92,0.0,0.0,0.060000000000000005,0.17500000000000002,0.5060000000000001
precip,Jan,5,0.202,0.0,1.02,0.0,0.0125,0.135,0.37,0.5640000000000001
precip,Jan,6,0.24400000000000002,0.0,1.08,0.0,0.0325,0.185,0.4175,0.66
precip,Jan,7,0.2886666666666667,0.0,1.19,0.01,0.0475,0.20500000000000002,0.45499999999999996,0.662
precip,Jan,8,0.33533333333333337,0.0,1.5699999999999998,0.029,0.09,0.25,0.45499999999999996,0.681
precip,Jan,9,0.38,0.0,2.08,0.029,0.12000000000000001,0.275,0.5425,0.6900000000000002
precip,Jan,10,0.42866666666666664,0.0,2.2,0.07,0.1525,0.30000000000000004,0.6025,0.789
precip,Jan,11,0.49533333333333335,0.03,2.41,0.09800000000000002,0.185,0.30500000000000005,0.665,0.9680000000000001
precip,Jan,12,0.5336666666666667,0.03,2.41,0.11600000000000002,0.23750000000000002,0.41500000000000004,0.6900000000000001,1.0130000000000001
precip,Jan,13,0.5563333333333333,0.03,2.45,0.11600000000000002,0.23750000000000002,0.48000000000000004,0.7925,1.0130000000000001
precip,Jan,14,0.5736666666666667,0.03,2.47,0.11600000000000002,0.2525,0.51,0.7925,1.0130000000000001
precip,Jan,15,0.655,0.04,2.5300000000000002,0.12500000000000003,0.28,0.5850000000000001,0.9299999999999999,1.1159999999999999
precip,Jan,16,0.686,0.04,2.7800000000000002,0.22600000000000006,0.32999999999999996,0.5850000000000001,0.9299999999999999,1.1680000000000001
precip,Jan,17,0.7476666666666667,0.04,2.7800000000000002,0.22700000000000006,0.33999999999999997,0.67,1.0325,1.2210000000000003
precip,Jan,18,0.8003333333333333,0.08,2.89,0.267,0.4725,0.7450000000000001,1.0625,1.2570000000000001
precip,Jan,19,0.8520000000000001,0.08,3.08,0.3390000000000001,0.54,0.7450000000000001,1.13,1.411
precip,Jan,20,0.8703333333333333,0.08,3.08,0.3480000000000001,0.5625,0.795,1.13,1.411
precip,Jan,21,0.9763333333333333,0.08,3.08,0.35300000000000004,0.5825,0.8400000000000001,1.4100000000000001,1.6020000000000003
precip,Jan,22,0.9993333333333333,0.08,3.09,0.35400000000000004,0.6100000000000001,0.875,1.4100000000000001,1.6030000000000002
